SN,position
4308811500,2856702
4295955915,8255827
4336819373,8003484
4288296051,7019605
4276184662,361985
4343150103,55972
4305010286,2111162
4290298526,7110269
4321026485,5096904
4295011070,7800945
4277481320,701615
4296851160,8350119
4254688421,3372387
4280187295,1140133
4319519330,4924966
4260036734,4572903
4245678964,2492211
4296277856,8282357
4331450266,6995762
4284931991,2181987
4265787945,5568511
4334334690,7651610
4255329466,3520201
4274192241,6873555
4327376233,6223286
4309174914,2912018
4342089835,8645571
4343969173,374624
4277676933,651775
4314954980,4037792
4285634323,2103721
4343510920,143892
4303132525,1732014
4272691334,6651601
4295312836,7942307
4315607063,8061373
4260233504,4448375
4268134673,5918579
4284004071,1739935
4262458115,4794031
4250247271,2786649
4253267476,3168747
4331236243,6980684
4270492586,6306759
4275155592,228859
4268962213,5926317
4282632723,1622345
4328463436,6505922
4311605970,3471652
4330473254,6889778
4299843973,1193166
4258290632,4080293
4334047701,7451514
4297366776,623634
4300615174,1274276
4252971052,3101827
4301598803,1547162
4336549022,7946316
4313798160,3871788
4312181484,8049745
4334331164,7590592
4261086130,4561899
4290012720,7300183
4270345542,6305705
4319511221,4834822
4307035261,2659386
4326388765,6120212
4287970945,6919955
4283091142,1776307
4292213052,7267483
4308434712,2793892
4270748090,6277001
4290373264,7169789
4292213656,7399171
4321448574,5258238
4337896334,8170830
4285184724,2099041
4282176581,1478537
4282235661,1562907
4325760375,6031440
4295668064,7929869
4322545570,5388088
4284488526,1880703
4327404351,6348914
4283365483,1787347
4332705635,7234328
4268433234,5889319
4317779535,4610242
4313697301,3740980
4276426265,434889
4276476304,573065
4342767531,373260
4268575356,5938525
4300965432,1327006
4311652170,3353240
4278281615,1247431
4343677645,131966
4321079173,5238674
4325172655,5975590
4285075712,2017099
4293857175,7821399
4264487706,5231789
4300575123,1267462
4286254210,2209069
4272515494,6678577
4269630713,6182555
4345571053,571122
4258929706,4571581
4293356476,7553421
4272332595,98357
4327201281,6325580
4260451543,4556725
4303877152,1806002
4332613736,7395286
4293912954,7547273
4269365704,6354757
4314884066,4027180
4318192616,4888582
4291372105,7307427
4259430534,4353275
4272216911,6740867
4285347091,2084411
4293300071,7513671
4288206856,6931513
4258738013,4069697
4252010593,2889337
4338028391,8107854
4295129720,8129783
4262884846,5365029
4321916012,8084079
4275429362,319175
4278596501,784451
4312835962,3634934
4311933382,3503736
4295166654,8228207
4303500272,1894972
4329695786,6766170
4256271073,3653899
4268515904,6057067
4255594626,3486199
4265060505,5323083
4297355182,621628
4294296296,7663819
4318637271,4725354
4278656605,851651
4277194666,509469
4300250555,1225546
4296114701,8165075
4273666670,6787107
4328376905,6492778
4269582730,6250381
4331318445,6987814
4312031216,3515698
4307952714,2601894
4310876264,3251220
4311275684,3308490
4340086520,8512301
4275599182,373335
4303255832,1880334
4297721024,672926
4270143614,6288195
4268082206,5803599
4339076615,8399145
4291996962,7350267
4326274470,6103518
4265154342,5308685
4258009044,4031401
4326171695,6088350
4302622973,1658726
4322146253,5327760
4340442923,8493776
4308868001,2865312
4341887760,8667121
4271681805,6706421
4317763203,4487350
4283291703,1819379
4322219333,5596074
4325298014,5884360
4259895861,4216695
4306069740,2352544
4263770534,5073325
4341856562,8630319
4297955594,1157278
4334983516,7793018
4342639302,36896
4311923501,3502306
4304233695,1983610
4287635715,7121679
4330605543,6908930
4312522244,3585592
4332148391,7059404
4310361996,3427972
4320001114,4865322
4330767744,6930838
4340432132,8471205
4327309814,8107413
4283260785,1678785
4272707036,157343
4327600933,6376706
4317512813,4589844
4252859601,3063507
4339657066,8505785
4291061025,7335597
4295681633,8145471
4307736720,2701482
4271200942,6428587
4341299583,307810
4302802103,1684660
4277675334,1182337
4333647371,7432726
4320612074,5043346
4303173114,1736630
4289240410,7091791
4306486833,2416114
4312200443,3388376
4342078624,8638512
4287318383,2450829
4329545964,6745806
4268902702,6009657
4294869062,7872223
4297400623,629220
4263831611,5173953
4319118112,4795422
4305891752,2332248
4278417920,1036795
4295852702,7977197
4337687480,8128636
4327537303,6366870
4267551083,5704003
4255495926,3767525
4317694533,4602772
4259672944,5843729
4323547480,5647288
4303562841,1901300
4275908696,498077
4329420023,6611466
4301331963,1534300
4342521691,8633313
4314066503,3901306
4329041150,6695632
4317661773,4479014
4279339061,1027181
4265272045,5201909
4270182184,6672167
4330324795,6865754
4281072386,1304723
4323985046,5547172
4250712616,2598807
4299599496,1030404
4253574426,3008511
4336869972,8016174
4317997272,4499474
4278609134,908179
4314380895,3944864
4254760440,3477369
4291525626,7714317
4310096545,3001990
4289482481,6966597
4306215325,2646414
4260710576,4504463
4271636213,6510563
4283503453,1768989
4323385334,5503526
4304725611,2269070
4344358130,333446
4277860215,875583
4262531464,4832757
4265653906,5584447
4284111974,1943585
4319499096,5220790
4264156584,5144069
4313446863,3839848
4255830526,3630387
4251538896,2884603
4321045142,5098814
4290992053,7274357
4294457156,7869139
4323252614,5489518
4310926712,3260022
4342242041,8587991
4303350365,1761228
4311252680,3305922
4258470952,4134911
4334798576,7673016
4312830653,3634126
4312648421,3606990
4262231746,4826503
4302218395,1478422
4344245662,360934
4281141465,1485325
4265672180,5633333
4335391196,7766390
4324557123,5952962
4304043984,1956232
4250652081,2756875
4342523135,138056
4303885375,1933954
4337149935,8177738
4276298143,308175
4296320873,8287475
4332376392,7186190
4327216003,6214690
4255285123,3394613
4330447446,6885168
4258797406,4053853
4334106335,7560476
4325281446,5982310
4259859796,4406711
4330546010,6900818
4302949420,1708122
4281062866,1400967
4296621324,8323525
4252114532,3037665
4307151660,2664486
4296530781,8311885
4303307820,1883672
4275756796,443957
4300031256,2256210
4281951800,1903243
4329694110,6765836
4330464040,6887964
4250499094,2627887
4326558891,6280044
4254372732,3638035
4298577953,876574
4298872023,751418
4253014356,3049017
4309839516,3106426
4324901792,5962636
4267562913,5738309
4342916443,8619637
4273791830,23179
4311134332,3290186
4306273834,2381168
4271880093,6464999
4300381665,1239968
4277818941,705139
4284301206,1845431
4339971134,8519410
4274341385,197249
4259425041,4369373
4256248905,3786033
4339484973,8400790
4326431060,6277546
4333606292,7339766
4314070143,3763172
4326630615,6154786
4330013284,6814810
4316001594,4268352
4263724485,4991365
4308401963,2787840
4301391975,1535420
4290786673,7217125
4273420023,6718561
4300640890,1120198
4313827162,3875592
4340808485,8440926
4260819393,4576649
4272154633,6707965
4256238641,3701405
4331865300,7121300
4327539101,6655078
4300342314,1235828
4343235783,149676
4287806563,6910723
4307435860,2680230
4310892305,3253666
4309688036,3090334
4280436451,1126195
4273711256,6854001
4254025053,3175245
4282902050,1570189
4287773803,6970275
4306222583,2372910
4268064953,5918117
4302643800,1857482
4263691843,5243505
4283142021,1628119
4264919455,5206229
4272323591,585045
4275879650,427877
4252792913,2963661
4283282721,1786461
4344074674,297882
4299582490,1027840
4325271226,5881950
4322717722,5414728
4294415451,7854953
4282288290,1618427
4326712795,6165108
4309153645,3059566
4290999064,7218327
4281183340,1320743
4319547153,4837880
4330998652,6960074
4319394866,4823566
4272206864,6541793
4259566570,4302413
4297137773,587718
4327942065,6425310
4285497823,2291273
4341903661,8660303
4281939266,1526759
4310616833,3213548
4298121704,716690
4323868356,5541328
4298936165,927044
4256075526,3652117
4312577452,3595212
4283466843,1853585
4324130016,5716964
4251860130,2814791
4257897280,4061651
4265945810,5806699
4277203641,646653
4279024234,1024107
4317904500,8069883
4327831222,6408122
4271214172,6379427
4308800941,2854812
4265857665,5496969
4336193116,7969600
4307348286,2541320
4344850171,318088
4346491015,579500
4286355183,2366219
4332064026,7150440
4280164173,1313297
4303311460,1884166
4251271006,2722667
4306017052,2221952
4267035522,5681935
4279679165,1014463
4336514162,7945942
4277407746,628569
4307881830,2715826
4325538674,5904056
4311129200,3446944
4284134676,1876951
4252181942,3112919
4294911412,7940095
4293122772,7526119
4302043911,1580842
4285087041,2261849
4291219785,7362857
4306880443,2478510
4261138453,4458137
4328534291,6516414
4309741870,3095506
4291253164,7189525
4259153986,4624207
4330694406,7015820
4298367872,736256
4297315271,617256
4261626110,4637317
4315232246,4075700
4291783801,7366631
4320705966,5057798
4306452441,2411104
4275820986,393133
4315088691,4056616
4309054400,2892742
4274964256,152793
4254055282,3455625
4285681794,2247751
4299017564,939192
4326994103,6198348
4300301412,1230600
4332873591,7441382
4332246940,7306946
4262955012,4899291
4308647523,2830110
4261003622,4490817
4310861774,3248402
4283214795,1732271
4264190895,5108187
4295494081,7877161
4261017180,4417619
4327579896,6373598
4315645342,4126592
4288210835,6945819
4326870262,6185564
4338077951,8411004
4265511132,5441317
4345280936,383066
4339932542,8460269
4267609651,6354023
4253892042,3206317
4269731605,291597
4305838165,2327606
4254415852,3766729
4335129746,7779346
4249921863,2786143
4274700135,224099
4317240141,4573776
4260627980,4539511
4284140066,1894909
4305897352,2213878
4322408355,5365592
4331035251,7177112
4261577600,4771691
4331534690,7000216
4294335360,7732663
4272784574,6759703
4320526490,5032494
4281875651,1649947
4292594434,7409933
4325297480,5984166
4303705803,1915058
4329623141,6756106
4340836194,8480525
4260745613,4663331
4332038550,7244950
4295755936,8148403
4276001962,569747
4270320390,6272445
4300708904,1286550
4342244244,8609401
4276094222,325555
4333495876,7616056
4265232974,5390401
4328142921,6456224
4254607523,3442009
4300271264,1228070
4274769763,132759
4304831720,2271090
4251034141,2720385
4327487452,6359672
4258677511,4460793
4264748611,5285523
4308845225,2862050
4314425393,3952178
4340610094,8560979
4291744354,7366307
4329825916,6785342
4279979082,1138105
4311055232,3279256
4260513950,4557131
4314282324,3931488
4344621234,404206
4332220723,7215564
4307691150,2697176
4302316675,1613092
4306940186,2488454
4299582906,1027922
4308926554,2873268
4306562551,2236142
4306734596,2456568
4319748263,4939238
4271187196,6442993
4252835790,3145483
4298460375,859500
4278432734,848809
4317419326,4583678
4337750082,8066096
4313632735,3737678
4304204936,1818706
4330829414,6939954
4341129181,8571642
4289734794,7027869
4257732404,3845699
4309209494,2917260
4283480530,1718881
4296372220,8177295
4263867156,5029421
4273459750,6703133
4300607570,1272896
4315971380,4264914
4261150320,4665799
4294365541,7937025
4337287625,8204218
4342282416,167948
4274307763,76249
4303596006,1904614
4287475555,7015647
4283872703,1892507
4342595121,8676707
4274834922,258743
4297124042,585300
4309457703,3074240
4293031562,7481887
4298694816,890958
4339847105,8430166
4294577280,7856057
4270096471,6119317
4294436355,7708899
4259458582,4181347
4328053063,6441854
4280280012,1017169
4252821904,3287129
4296270355,8281807
4267301474,5796193
4308005063,2730502
4276434492,326695
4283887300,1856529
4278304085,690713
4302721102,1672632
4334716923,7835414
4292262623,7195253
4254204625,3208373
4306298485,2385588
4265124986,5355445
4318716614,4737560
4275410016,424305
4328083454,6447218
4322465836,5374312
4301072705,1344668
4333354863,7919674
4323409856,5636504
4298554341,872868
4325553470,6007900
4252285726,3015517
4259549512,4444121
4287141751,2463115
4328033802,6438720
4297578703,651522
4273899895,6855975
4307497633,2683898
4266051425,5635413
4273194354,33961
4328976595,6572408
4344760711,421920
4308347105,2779932
4255660684,3567991
4294793720,7843131
4337051143,7982002
4328679880,6673986
4305324656,2155144
4293804233,7619855
4294808980,7923429
4256828715,3690603
4304206211,1979408
4327354275,6222296
4346807220,581316
4271406801,6386765
4335481356,7753552
4331560531,7023364
4260554756,4414629
4295111682,8129087
4302089912,1585732
4329573076,6748826
4342002243,8616661
4305786391,2320674
4312746756,3622362
4251417461,2689743
4263807881,5141045
4334290800,7651270
4315906711,8062399
4332716625,7362826
4272085263,6540643
4255922941,3798803
4342487472,50760
4257948671,4015153
4310490914,3192420
4271888666,6631579
4278522780,817393
4318653485,4728014
4313803362,3872506
4315489743,4109342
4282608676,1551021
4342293023,8609636
4300934002,1321870
4309090634,2898244
4340456470,8455527
4281025663,1504729
4332355436,7328924
4332157594,7289952
4320814606,5071570
4277696102,630835
4283498984,1853857
4339068064,8367968
4268681266,6049483
4340351164,8493229
4305297242,2288332
4271499175,6481033
4300989033,1331096
4326189184,6270490
4276466703,604465
4315672384,4128944
4294710092,7594413
4317453744,4459834
4255612012,3583929
4308510054,2807110
4316959802,4404538
4278931532,1183633
4314122050,3908290
4309816851,3103424
4260547756,4485895
4343709392,45086
4297373861,625030
4333745765,7481552
4256187854,4110317
4252863532,2997849
4259784981,4304891
4294330876,7762049
4302640042,1491808
4325381712,5892648
4333851690,7525866
4316363903,4313904
4299939066,1198746
4295887982,8251297
4337966146,8144400
4251403822,3026203
4271219525,6478695
4335328023,7795136
4340748285,8529835
4300283481,1228962
4294189351,7721401
4289043555,7064029
4316931242,4557150
4305392851,2164016
4300230045,1100778
4305736120,2202590
4343471856,205520
4265365473,5660971
4259569871,4386771
4311099940,3285290
4273484283,6867357
4297617962,795038
4253568572,3137223
4284997942,2275483
4321127134,5109500
4320454751,5022230
4279636981,1030635
4257787726,4261165
4286011645,2309731
4279302263,990097
4337754046,8118710
4271502826,6381773
4339663366,8415459
4266310403,5485031
4340163951,8470215
4311363825,3321338
4260643074,4453239
4340725314,8514505
4282521596,1516539
4332100393,7198602
4328543586,6517662
4332887996,7441530
4309901912,3113452
4287609266,2453967
4312236095,3542708
4265436173,5327909
4284804716,1883517
4318824506,4754644
4268264475,5823933
4257824513,3931869
4274312792,91515
4294006485,7719765
4272879612,6626735
4294690562,7648211
4303244411,1746768
4306352433,2393988
4253465506,3305225
4250552526,2545157
4298816771,750682
4344494825,301488
4277903136,743323
4280493114,1315235
4302040105,1465470
4336976615,7863934
4257440585,4087729
4301124870,1529144
4291123244,7146497
4294361805,7936961
4338120533,8108090
4296137355,7948695
4333456993,7479256
4307396030,2547632
4330978960,6956690
4317044502,4414914
4302401283,1486164
4335216723,7750540
4302337944,1616398
4281455404,1760471
4251751302,2834917
4306528273,2423144
4299966414,1077306
4258200004,4312671
4291422262,7083741
4295372082,7785269
4323902542,5542960
4252311136,2943583
4264980882,5152021
4256801651,3819471
4307520162,2563230
4290524534,7184429
4246029760,2495135
4254246124,3224211
4325830412,6040960
4254670792,3476829
4294552780,7764049
4290598690,7382811
4326050492,6070582
4268191266,5886327
4251282954,2864535
4301233963,1371090
4283706350,1665391
4320570763,5038368
4319896630,4955962
4292150564,7175757
4306428066,2406598
4318911833,4898710
4254043113,3277095
4335148683,7764584
4281434522,1261067
4313534411,3727616
4316331961,4310070
4279415571,1059371
4321785650,5590324
4333644921,7523994
4257594434,3844927
4256973066,4495931
4316084673,4277656
4280570066,1269431
4313579841,3732556
4318419523,4694220
4332723032,7279464
4288206090,6901621
4296080331,7933653
4277428223,543953
4305355143,2159778
4295745915,8148257
4271329075,6333491
4260452755,4698593
4253769704,3256689
4281296051,1387199
4327683566,6387122
4251716033,2708949
4316799620,4380698
4331372695,7021436
4313620323,3736574
4328348360,6489174
4333037085,7378434
4265948551,5546379
4297044124,8379635
4343526202,59578
4261845840,4772869
4279708274,1014645
4310384643,3178826
4318320580,4678946
4290353981,7199179
4295885871,7991129
4330326033,6865878
4262962281,4843641
4262192605,4825625
4329304114,6719492
4290819363,7504403
4330430123,6882814
4266651270,5694057
4318572086,4893434
4261965304,4723411
4294837912,8222957
4302269005,1481900
4270421400,6257441
4271280042,6380045
4260346204,4309857
4275419772,495469
4277594462,476115
4265823726,5528447
4340780161,8456697
4268539936,6124037
4255126584,3481003
4283043225,1677003
4276282894,484969
4316984980,4407292
4302058655,1582408
4308028712,2733592
4252966410,3101771
4340629952,8501921
4337320466,8032432
4301362155,1391462
4285680523,2171499
4338865720,8498164
4290619605,7358265
4300515306,1258054
4312875221,3816034
4265488334,5328493
4291961590,7368157
4263429881,5038899
4342817592,8670730
4326332205,6110970
4327637532,6380756
4322901041,5610544
4330322220,6865274
4315112255,4059642
4336498412,7889890
4324779126,5817884
4309353230,2936494
4301030381,1336958
4267371264,5781165
4278781614,1199125
4260823803,4540857
4303684630,1791316
4343381486,142844
4331584622,7103206
4305825495,2325784
4279703654,1103543
4251893914,3211029
4295479694,8233971
4323365432,5632442
4303419061,1768196
4280937091,1210577
4341434661,8614628
4285127486,2166305
4284432294,1927397
4340471516,8432232
4278813081,1022065
4326461425,6130860
4252198145,2816375
4275383044,248479
4250884315,2570055
4297248421,605886
4320282352,4998408
4318753305,4743830
4320463943,5024004
4291532136,7308191
4253241672,3083737
4306934376,2487748
4285780505,2248671
4283096355,1660925
4344098463,163688
4335162160,7597780
4296912270,1514192
4329127666,6701848
4256736492,3869209
4265877232,5545771
4315118076,4060714
4256305955,3702005
4267118995,5650857
4325895195,5921640
4323030493,8087095
4345266240,409052
4263533621,5018747
4287940720,7033241
4278986504,869059
4273791185,6842855
4253933250,3472877
4270919866,6643263
4313924156,3756512
4253723456,3219513
4304921051,2097560
4253198025,3067385
4312467353,3576886
4316303154,4306364
4334718220,7534848
4283867335,1840911
4267838024,5850991
4265069712,5437979
4276850491,522957
4301025816,1336464
4284290102,1811729
4278731671,1147259
4274241042,105885
4335617230,7707998
4299599894,1030484
4307139502,2515404
4293775382,7730835
4265165122,5508973
4279500595,1574107
4268775954,6058823
4330104214,6828986
4253568384,3137185
4253263350,3104699
4310789416,3238196
4257813523,3912031
4323234182,5486760
4321659812,5272604
4283118560,2041729
4253759646,3489607
4277112394,771867
4262099483,4910213
4304265851,1987960
4344093176,387164
4282306711,1581031
4340483136,8513535
4290594490,7215949
4315036526,4048580
4302129311,1590022
4252721863,3144789
4344775724,336040
4308324646,2776238
4285036744,2182323
4314068872,3763022
4316594612,4550542
4296012103,7903407
4266690223,5488165
4309240283,2922032
4280124354,1297923
4280115523,1589541
4280309320,1190929
4309556451,2962480
4323296213,5494472
4302609500,1656786
4271900636,6539333
4271229830,6790145
4341168333,8516193
4260800213,4715643
4253388565,3052489
4296847450,8349457
4255966901,3631471
4316763791,4374764
4258347693,4187303
4307982770,2727710
4251896913,2910281
4277154206,542263
4340408866,8478292
4339049175,8391276
4282473031,1684025
4324360515,5556896
4314343574,3939604
4319278235,4812018
4258817986,4190725
4308994620,2883034
4272554576,6604915
4325235611,5877732
4297842415,687970
4312550664,3590592
4248615755,2753601
4304091606,1962700
4294282134,7707699
4257738516,3931015
4296995371,8374121
4287772602,6885541
4260426063,4346425
4321813230,5290268
4274687631,295071
4300179531,1096394
4302986063,1713720
4277391145,648893
4276280525,397791
4303677265,1790266
4297111070,583250
4251589366,2850413
4259138516,4142691
4313729232,3864282
4267703720,5915977
4344532835,301918
4345890986,540344
4301647361,1427310
4316176760,4290816
4318649053,4727442
4292727666,7558451
4268110932,5903549
4271875705,6790701
4259232180,4211641
4303093196,1727210
4267826415,5757713
4282691442,1887737
4323970350,5696234
4291293473,7626335
4309763636,3097968
4252947020,3080713
4260473291,4645569
4307944056,2600812
4343396131,8665326
4317086130,4420730
4344927716,527774
4286618663,2398051
4305324074,2155036
4311598395,3470710
4305422144,2294964
4311705823,3802150
4260882452,4593063
4328767925,6548090
4282340451,1494779
4270143102,6238077
4343337585,149930
4254952343,3318539
4322174452,5331342
4326456746,6129948
4337238953,7993162
4302053254,1581656
4303883732,1933688
4345750592,457228
4273142344,6763123
4330380471,6874774
4307047496,2660074
4304574735,2038248
4324622271,5794840
4295456513,7891361
4318494283,4705444
4295095512,7845611
4254445786,3457201
4291571373,7322715
4343001773,183688
4257462646,3843853
4265367293,5342813
4279690796,944297
4289729813,7066359
4297421472,788414
4308731943,3050134
4322551015,5389148
4275139186,154119
4272434250,6742017
4288188892,6988205
4282135373,1590857
4282776455,1711579
4331355011,7085020
4327765035,6398000
4334236885,7716086
4336752011,7863502
4301255151,1374716
4254360014,3240691
4273852903,23651
4272076104,6485307
4295511706,8138923
4337703602,8128802
4264428685,5063105
4261175811,4979761
4329026122,8112419
4259074190,4178249
4311756142,4535964
4304675373,2055806
4285809920,2425227
4335932672,8010946
4255560411,3485815
4332868046,7235608
4334518963,7685732
4294744543,7765887
4259739794,4427515
4303719431,1916652
4299786481,1057366
4274416521,255957
4302859256,1693868
4285043512,2081129
4312431270,3570390
4279639125,1311647
4309055295,2892918
4311292904,3311260
4307676236,2579854
4346162225,576642
4299293880,1171930
4314125314,3908924
4320748806,5062702
